event_name,prompt,image_generated,saved_filename
gulf-pearl-diving,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Persian Gulf Pearl Diving — Divers worked the oyster beds off Bahrain on held breath, feeding a pearl trade that reached Assyria and India.. One vessel, cargo, camel or crate at the point of exchange, large in frame, with the route suggested rather than drawn. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
hezekiah-tunnel-jerusalem,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Hezekiah's Tunnel Completed — Judean workers cut a winding water tunnel through bedrock beneath Jerusalem, digging from both ends until they met.. The structure filling the frame from a dramatic low angle. One or two human figures for scale. Strong geometry and clean lines. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
terracotta-oil-lamp,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Terracotta Oil Lamps Spread — Cheap wheel-thrown clay lamps burning olive oil became the common household light around the Mediterranean.. Hands and material at the moment of transformation. Extreme foreground detail of the process; the workshop reduced to warm shadow. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
sennacherib-assassinated,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Sennacherib Assassinated — The Assyrian king who besieged Jerusalem was killed by his own sons in a dispute over the succession.. A single throne, crown, standard or seated ruler dominating the frame. Regalia and power made physical, not a map or a crowd. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
temple-scroll-found-josiah,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Lost Law Scroll Found — Workmen repairing the Temple in Jerusalem turned up a forgotten scroll of law, and King Josiah tore his robes and reformed the kingdom.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
atbash-cipher-scribes,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Atbash Cipher Hides Names — Hebrew scribes swapped each letter for its opposite in the alphabet, veiling Babylon's name inside prophecy.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
babylonian-world-map,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Babylonian Map of the World — A clay tablet showed Babylon at the centre of a disc-shaped earth ringed by a bitter river and distant islands.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
greek-symposium-wine,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Wine at the Greek Symposium — Greek men drank wine mixed with water from a shared krater, pairing poetry and music with measured drinking.. The artwork, instrument or performer close and central, lit theatrically. The act of making or playing, not the audience. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
anaximander-earth-in-space,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Anaximander's Floating Earth — The Milesian philosopher argued Earth hangs unsupported in space, resting on nothing at all.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
nabonidus-excavates-ur,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Nabonidus Excavates Ur — The last king of Babylon dug beneath a ruined temple to recover its founder's buried inscription, an early act of archaeology.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. warm golds, burnt sienna, polished bronze, lapis lazuli blues painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
histiaeus-tattooed-message,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Message Tattooed On A Scalp — Histiaeus tattooed a call to revolt on a slave's shaved head and let the hair regrow, hiding it from Persian eyes.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
scyllis-combat-diver,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Scyllis the Combat Diver — Herodotus recorded a Greek diver slipping among the Persian fleet at Artemisium to cut its ships adrift in a gale.. Close-up dramatic angle on one or two figures at a single iconic moment, not a wide battlefield. Blurred, minimal background. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
xerxes-hellespont-bridge,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Xerxes Bridges the Hellespont — Persian engineers lashed hundreds of ships into twin pontoon bridges so an invading army could march into Europe.. The structure filling the frame from a dramatic low angle. One or two human figures for scale. Strong geometry and clean lines. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
sparta-earthquake,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Sparta Earthquake — A violent quake levelled Sparta and killed thousands, touching off a helot revolt that nearly broke the city-state.. One dramatic focal point — a single building, ship, or fissure — dominating the frame, with one human figure for scale. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
irrational-numbers-discovered,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Irrational Numbers Discovered — Pythagoreans found that the square root of two cannot be written as a ratio of two whole numbers.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
metonic-cycle,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Metonic Cycle Discovered — Athenian astronomer Meton showed that nineteen solar years almost exactly equal two hundred and thirty-five lunar months.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
syracuse-underwater-palisade,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Divers Cut Syracuse's Stakes — Athenian divers sawed through the piles Syracuse had sunk across its harbour mouth to trap the besieging fleet.. Close-up dramatic angle on one or two figures at a single iconic moment, not a wide battlefield. Blurred, minimal background. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
spartan-scytale-cipher,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. The Spartan Scytale — Spartan commanders wound a leather strip around a rod, so a dispatch could be read only on a rod of equal thickness.. Close-up dramatic angle on one or two figures at a single iconic moment, not a wide battlefield. Blurred, minimal background. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
punch-marked-coins-india,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. India's Punch-Marked Coins — Mahajanapada kingdoms of northern India struck silver punch-marked coins, the subcontinent's first currency.. A single counter, ledger, scale or storefront, close in. The exchange itself as the subject, not a market crowd. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
helike-earthquake,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Helike Swallowed by the Sea — An earthquake and tsunami sank the Greek city of Helike into the Gulf of Corinth overnight, leaving nothing above water.. One dramatic focal point — a single building, ship, or fissure — dominating the frame, with one human figure for scale. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
aeneas-tacticus-secret-messages,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Aeneas Tacticus Hides Messages — A Greek general's siege manual catalogued ways to smuggle word past a blockade, from pricked books to hollow soles.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
archytas-flying-dove,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Archytas' Flying Dove — The Greek mathematician Archytas of Tarentum built a wooden bird said to fly on its own using compressed air.. The device itself, close and centred, shown as an object of craft. One pair of hands at most. Background dissolved to shadow. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
aristotle-celestial-spheres,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Aristotle's Celestial Spheres — Aristotle placed a motionless Earth inside nested crystalline spheres carrying the planets and stars.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
aristotle-diving-kettle,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Aristotle's Diving Kettle — Aristotle described divers drawing breath from an upturned cauldron lowered with them, the first account of a diving bell.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
philip-ii-macedon-assassinated,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Philip II of Macedon Killed — The Macedonian king was struck down by one of his bodyguards at a royal wedding, bringing Alexander to the throne.. A single throne, crown, standard or seated ruler dominating the frame. Regalia and power made physical, not a map or a crowd. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
alexander-diving-bell,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Alexander's Descent in a Bell — Legend held that Alexander the Great was lowered beneath the sea at Tyre in a glass barrel to watch the fish.. The device itself, close and centred, shown as an object of craft. One pair of hands at most. Background dissolved to shadow. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
alexander-coinage-empire,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Alexander's Imperial Coinage — Alexander the Great's silver tetradrachms carried one coin standard from Greece to the Indus, outlasting him.. A single counter, ledger, scale or storefront, close in. The exchange itself as the subject, not a market crowd. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
archimedes-measures-circle,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Archimedes Bounds Pi — Archimedes squeezed the circle between inscribed and circumscribed polygons to pin down pi.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
ctesibius-float-regulator,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Ctesibius' Self-Feeding Clock — Ctesibius of Alexandria gave his water clock a float valve that held the supply level steady, an early feedback control.. The device itself, close and centred, shown as an object of craft. One pair of hands at most. Background dissolved to shadow. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
rhodes-earthquake-colossus,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Earthquake Topples the Colossus — A quake shattered the Colossus of Rhodes at the knees, and the fallen bronze wonder was left lying where it broke.. One dramatic focal point — a single building, ship, or fissure — dominating the frame, with one human figure for scale. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
mawangdui-silk-maps,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Mawangdui Silk Maps — Maps painted on silk and buried in a Han noble's tomb showed rivers, garrisons and roads drawn close to scale.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
confucian-classics-found-in-wall,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Classics Found in a Wall — Texts hidden from the Qin book burnings were recovered from a wall of Confucius' old house at Qufu, in a script scholars could barely read.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
polybius-square-cipher,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. The Polybius Square — The Greek historian Polybius set the alphabet in a five-by-five grid so any letter became a pair of torch signals.. The device itself, close and centred, shown as an object of craft. One pair of hands at most. Background dissolved to shadow. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
hipparchus-precession,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Hipparchus Finds Precession — Comparing his own star positions against much older Babylonian records, Hipparchus caught the whole sky slowly drifting.. The instrument or specimen close and central, with the observer implied — a hand, an eye at a lens. Dark, focused, lamplit. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
nine-chapters-mathematical-art,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Nine Chapters on Mathematical Art — The Chinese classic set out problems using negative numbers and elimination on systems of equations.. A single page, tablet, scroll or press forme filling the frame, lit raking across its surface so the marks catch the light. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
roman-urinatores,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Rome's Salvage Divers — The urinatores, a guild of Roman divers, recovered sunken cargo and dropped goods from the Tiber and the port of Ostia.. One vessel, cargo, camel or crate at the point of exchange, large in frame, with the route suggested rather than drawn. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
caesar-rhine-bridge,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Caesar's Rhine Bridge Built — Roman legions drove piles into the riverbed and spanned the Rhine with a timber trestle bridge in ten days.. The structure filling the frame from a dramatic low angle. One or two human figures for scale. Strong geometry and clean lines. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
caesar-shift-cipher,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Caesar's Shift Cipher — Julius Caesar shifted every letter three places down the alphabet to keep his military dispatches from enemy hands.. Close-up dramatic angle on one or two figures at a single iconic moment, not a wide battlefield. Blurred, minimal background. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
julian-calendar-reform,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Julian Calendar Reform — Julius Caesar scrapped Rome's drifting lunar calendar for a solar year of three hundred sixty-five days plus a leap day.. A document, seal, gavel or carved statute filling the frame, lit hard from one side. Weight and permanence over people. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
caligula-assassinated,"A dramatic oil painting with rich visible brushstrokes and chiaroscuro lighting. 1:1 square composition. Bold simplified composition optimized for small screen viewing. One dominant focal subject filling most of the frame. Strong silhouettes, high contrast, minimal background detail. Few figures, not crowds. Caligula Assassinated — Officers of the Praetorian Guard killed the Roman emperor in his palace and raised Claudius in his place.. One figure mid-gesture at the moment of defiance — a raised arm, a torn banner, a barricade edge. Close, urgent, few people. marble whites, imperial purples, bronze metallics, crimson reds painting aesthetic. No text, no dates, no numbers, no labels, no borders, no watermarks.",,
