name,friendly_name,year,category,difficulty,description
appearance-of-the-miraculous-portrait-of-saint-dom,Appearance of the miraculous portrait of Saint Dominic in,1530,cultural,medium,"Appearance of the miraculous portrait of Saint Dominic in Soriano in Soriano Calabro, Calabria, Italy; commemorated as a feast day by the Roman Catholic Church 1644-1912."
king-henry-viii-of-england-marries-anne-of-cleves,King Henry VIII of England marries Anne of Cleves.,1540,diplomatic,medium,King Henry VIII of England marries Anne of Cleves.
hernando-de-alarcn-sets-sail-on-an-expedition-to,Hernando de Alarcón sets sail on an expedition to the Gulf,1540,exploration,medium,Hernando de Alarcón sets sail on an expedition to the Gulf of California.
arequipa-peru-is-founded,"Arequipa, Peru is founded.",1540,cultural,medium,"Arequipa, Peru is founded."
the-society-of-jesus-jesuits-receives-its-charte,The Society of Jesus (Jesuits) receives its charter from,1540,cultural,medium,The Society of Jesus (Jesuits) receives its charter from Pope Paul III.
spanish-conquistador-hernando-de-sotos-forces-des,Spanish conquistador Hernando de Soto's forces destroy the,1540,cultural,medium,"Spanish conquistador Hernando de Soto's forces destroy the fortified town of Mabila in present-day Alabama, killing Tuskaloosa."
the-city-of-helsinki-finland-belonging-to-sweden,"The city of Helsinki, Finland (belonging to Sweden at the",1550,diplomatic,medium,"The city of Helsinki, Finland (belonging to Sweden at the time) is founded by King Gustav I of Sweden."
the-treaty-of-berwick-is-signed-by-england-and-the,The Treaty of Berwick is signed by England and the Lords of,1560,diplomatic,medium,"The Treaty of Berwick is signed by England and the Lords of the Congregation of Scotland, establishing the terms under which English armed forces were to be permitted in Scotland in order to expel occupying French troops."
the-catholic-church-is-overthrown-and-protestantis,The Catholic Church is overthrown and Protestantism is,1560,cultural,medium,The Catholic Church is overthrown and Protestantism is established as the national religion in Scotland.
charles-ix-becomes-king-of-france,Charles IX becomes king of France.,1560,diplomatic,medium,Charles IX becomes king of France.
james-stewart-1st-earl-of-moray-regent-for-the-i,"James Stewart, 1st Earl of Moray, regent for the infant",1570,conflict,medium,"James Stewart, 1st Earl of Moray, regent for the infant King James VI of Scotland, is assassinated by firearm, the first recorded instance of such."
cartographer-abraham-ortelius-issues-theatrum-orbi,Cartographer Abraham Ortelius issues Theatrum Orbis,1570,exploration,medium,"Cartographer Abraham Ortelius issues Theatrum Orbis Terrarum, the first modern atlas."
the-principality-of-transylvania-is-established-af,The Principality of Transylvania is established after John,1570,diplomatic,medium,The Principality of Transylvania is established after John II Zápolya renounces his claim as King of Hungary in the Treaty of Speyer.
spanish-jesuit-missionaries-land-in-present-day-vi,Spanish Jesuit missionaries land in present-day Virginia to,1570,exploration,medium,Spanish Jesuit missionaries land in present-day Virginia to establish the short-lived Ajacán Mission.
the-all-saints-flood-devastates-the-dutch-coast,The All Saints' Flood devastates the Dutch coast.,1570,disasters,medium,The All Saints' Flood devastates the Dutch coast.
one-of-the-largest-earthquakes-recorded-in-the-his,One of the largest earthquakes recorded in the history of,1580,disasters,medium,"One of the largest earthquakes recorded in the history of England, Flanders, or Northern France, takes place."
the-ostrog-bible-one-of-the-early-printed-bibles,"The Ostrog Bible, one of the early printed Bibles in a",1580,cultural,medium,"The Ostrog Bible, one of the early printed Bibles in a Slavic language, is published."
war-of-the-portuguese-succession-spanish-victory,War of the Portuguese Succession: Spanish victory at the,1580,conflict,medium,War of the Portuguese Succession: Spanish victory at the Battle of Alcântara brings about the Iberian Union.
francis-drake-finishes-his-circumnavigation-of-the,Francis Drake finishes his circumnavigation of the Earth in,1580,cultural,medium,"Francis Drake finishes his circumnavigation of the Earth in Plymouth, England."
over-600-papal-troops-land-in-ireland-to-support-t,Over 600 Papal troops land in Ireland to support the Second,1580,conflict,medium,Over 600 Papal troops land in Ireland to support the Second Desmond Rebellion.
luis-de-carvajal-y-de-la-cueva-is-tortured-by-the,Luis de Carvajal y de la Cueva is tortured by the,1590,diplomatic,medium,"Luis de Carvajal y de la Cueva is tortured by the Inquisition in Mexico, charged with concealing the practice of Judaism of his sister and her children."
battle-of-ivry-henry-of-navarre-and-the-huguenots,Battle of Ivry: Henry of Navarre and the Huguenots defeat,1590,conflict,medium,"Battle of Ivry: Henry of Navarre and the Huguenots defeat the forces of the Catholic League under Charles, Duke of Mayenne, during the French Wars of Religion."
anne-of-denmark-is-crowned-queen-of-scotland,Anne of Denmark is crowned Queen of Scotland.,1590,diplomatic,medium,Anne of Denmark is crowned Queen of Scotland.
john-white-the-governor-of-the-roanoke-colony-re,"John White, the governor of the Roanoke Colony, returns",1590,cultural,medium,"John White, the governor of the Roanoke Colony, returns from a supply trip to England and finds his settlement deserted."
tokugawa-ieyasu-enters-edo-castle-traditional-ja,Tokugawa Ieyasu enters Edo Castle. (Traditional Japanese,1590,cultural,medium,"Tokugawa Ieyasu enters Edo Castle. (Traditional Japanese date: August 1, 1590)"
alexander-farneses-army-forces-henry-iv-of-france,Alexander Farnese's army forces Henry IV of France to lift,1590,conflict,medium,Alexander Farnese's army forces Henry IV of France to lift the siege of Paris.
the-death-of-pope-urban-vii-13-days-after-being-c,"The death of Pope Urban VII, 13 days after being chosen as",1590,cultural,medium,"The death of Pope Urban VII, 13 days after being chosen as the Pope, ends the shortest papal reign in history."
prince-gesualdo-of-venosa-murders-his-wife-and-her,Prince Gesualdo of Venosa murders his wife and her,1590,cultural,medium,Prince Gesualdo of Venosa murders his wife and her lover.[citation needed]
scotland-recognises-january-1-as-the-start-of-the,"Scotland recognises January 1 as the start of the year,",1600,cultural,medium,"Scotland recognises January 1 as the start of the year, instead of March 25."
on-his-way-to-be-burned-at-the-stake-for-heresy-a,"On his way to be burned at the stake for heresy, at Campo",1600,cultural,medium,"On his way to be burned at the stake for heresy, at Campo de' Fiori in Rome, the philosopher Giordano Bruno has a wooden vise put on his tongue to prevent him continuing to speak."
the-peruvian-stratovolcano-huaynaputina-explodes-i,The Peruvian stratovolcano Huaynaputina explodes in the,1600,disasters,medium,The Peruvian stratovolcano Huaynaputina explodes in the most violent eruption in the recorded history of South America.
the-linkping-bloodbath-takes-place-on-maundy-thur,The Linköping Bloodbath takes place on Maundy Thursday in,1600,conflict,medium,"The Linköping Bloodbath takes place on Maundy Thursday in Linköping, Sweden: five Swedish noblemen are publicly beheaded in the aftermath of the War against Sigismund (1598-1599)."
the-gowrie-conspiracy-against-king-james-vi-of-sco,The Gowrie Conspiracy against King James VI of Scotland,1600,diplomatic,medium,The Gowrie Conspiracy against King James VI of Scotland (later to become King James I of England) takes place.
battle-of-gifu-castle-the-eastern-forces-of-tokug,Battle of Gifu Castle: The eastern forces of Tokugawa,1600,conflict,medium,"Battle of Gifu Castle: The eastern forces of Tokugawa Ieyasu defeat the western Japanese clans loyal to Toyotomi Hideyori, leading to the destruction of Gifu Castle and serving as a prelude to the Battle of Sekigahara."
euridice-the-earliest-surviving-opera-receives-i,"Euridice, the earliest surviving opera, receives its",1600,cultural,medium,"Euridice, the earliest surviving opera, receives its première performance, beginning the Baroque period."
tokugawa-ieyasu-defeats-the-leaders-of-rival-japan,Tokugawa Ieyasu defeats the leaders of rival Japanese clans,1600,conflict,medium,Tokugawa Ieyasu defeats the leaders of rival Japanese clans in the Battle of Sekigahara and becomes shōgun of Japan.
galileo-galilei-makes-his-first-observation-of-the,Galileo Galilei makes his first observation of the four,1610,exploration,medium,"Galileo Galilei makes his first observation of the four Galilean moons: Ganymede, Callisto, Io and Europa, although he is not able to distinguish the last two until the following day."
henry-iv-of-france-is-assassinated-by-catholic-zea,Henry IV of France is assassinated by Catholic zealot,1610,cultural,medium,"Henry IV of France is assassinated by Catholic zealot François Ravaillac, and Louis XIII ascends the throne."
the-masque-tethys-festival-is-performed-at-whiteh,The masque Tethys' Festival is performed at Whitehall,1610,cultural,medium,"The masque Tethys' Festival is performed at Whitehall Palace to celebrate the investiture of Henry Frederick, Prince of Wales."
the-battle-of-klushino-is-fought-between-forces-of,The Battle of Klushino is fought between forces of the,1610,conflict,medium,The Battle of Klushino is fought between forces of the Polish-Lithuanian Commonwealth and Russia during the Polish-Muscovite War.
john-guy-sets-sail-from-bristol-with-39-other-colo,John Guy sets sail from Bristol with 39 other colonists for,1610,cultural,medium,John Guy sets sail from Bristol with 39 other colonists for Newfoundland.
during-henry-hudsons-search-for-the-northwest-pas,"During Henry Hudson's search for the Northwest Passage, he",1610,cultural,medium,"During Henry Hudson's search for the Northwest Passage, he sails into what is now known as Hudson Bay."
the-first-anglo-powhatan-war-begins-in-colonial-vi,The First Anglo-Powhatan War begins in colonial Virginia.,1610,conflict,medium,The First Anglo-Powhatan War begins in colonial Virginia.
french-king-louis-xiii-is-crowned-in-reims-cathedr,French king Louis XIII is crowned in Reims Cathedral.,1610,diplomatic,medium,French king Louis XIII is crowned in Reims Cathedral.
the-battle-of-hchst-takes-place-during-the-thirt,The Battle of Höchst takes place during the  Thirty Years',1620,conflict,medium,The Battle of Höchst takes place during the  Thirty Years' War.
english-crown-bans-tobacco-growing-in-england-giv,"English crown bans tobacco growing in England, giving the",1620,cultural,medium,"English crown bans tobacco growing in England, giving the Virginia Company a monopoly in exchange for tax of one shilling per pound."
speedwell-leaves-delfshaven-to-bring-pilgrims-to-a,Speedwell leaves Delfshaven to bring pilgrims to America by,1620,cultural,medium,Speedwell leaves Delfshaven to bring pilgrims to America by way of England.
the-mayflower-departs-from-southampton-england-c,"The Mayflower departs from Southampton, England, carrying",1620,exploration,medium,"The Mayflower departs from Southampton, England, carrying would-be settlers, on its first attempt to reach North America; it is forced to dock in Dartmouth when its companion ship, the Speedwell, springs a leak."
the-town-of-kokkola-swedish-karleby-was-founded,The town of Kokkola (Swedish: Karleby) was founded by King,1620,diplomatic,medium,The town of Kokkola (Swedish: Karleby) was founded by King Gustavus Adolphus of Sweden.
polish-ottoman-war-the-ottoman-empire-defeats-the,Polish-Ottoman War: The Ottoman Empire defeats the,1620,conflict,medium,Polish-Ottoman War: The Ottoman Empire defeats the Polish-Lithuanian Commonwealth during the Battle of Cecora.
the-battle-of-white-mountain-takes-place-near-prag,"The Battle of White Mountain takes place near Prague,",1620,conflict,medium,"The Battle of White Mountain takes place near Prague, ending in a decisive Catholic victory in only two hours."
pilgrims-aboard-the-mayflower-sight-land-at-cape-c,"Pilgrims aboard the Mayflower sight land at Cape Cod,",1620,cultural,medium,"Pilgrims aboard the Mayflower sight land at Cape Cod, Massachusetts."
dutch-forces-led-by-hendrick-lonck-capture-olinda,Dutch forces led by Hendrick Lonck capture Olinda in what,1630,cultural,medium,Dutch forces led by Hendrick Lonck capture Olinda in what was to become part of Dutch Brazil.
thirty-years-war-four-thousand-swedish-troops-un,Thirty Years' War: Four thousand Swedish troops under,1630,conflict,medium,"Thirty Years' War: Four thousand Swedish troops under Gustavus Adolphus land in Pomerania, Germany."
portuguese-forces-are-defeated-by-the-kingdom-of-k,Portuguese forces are defeated by the Kingdom of Kandy at,1630,conflict,medium,Portuguese forces are defeated by the Kingdom of Kandy at the Battle of Randeniwela in Sri Lanka.
the-city-of-boston-massachusetts-is-founded,"The city of Boston, Massachusetts is founded.",1630,cultural,medium,"The city of Boston, Massachusetts is founded."
frendraught-castle-in-scotland-the-home-of-james,"Frendraught Castle in Scotland, the home of James Crichton",1630,cultural,medium,"Frendraught Castle in Scotland, the home of James Crichton of Frendraught, burns down."
the-royal-academy-of-turku-the-first-university-o,"The Royal Academy of Turku, the first university of",1640,diplomatic,medium,"The Royal Academy of Turku, the first university of Finland, is founded in the city of Turku by Queen Christina of Sweden at the proposal of Count Per Brahe."
king-charles-i-of-england-dissolves-the-short-parl,King Charles I of England dissolves the Short Parliament.,1640,diplomatic,medium,King Charles I of England dissolves the Short Parliament.
second-bishops-war-king-charles-is-english-army,Second Bishop's War: King Charles I's English army loses to,1640,conflict,medium,Second Bishop's War: King Charles I's English army loses to a Scottish Covenanter force at the Battle of Newburn.
the-treaty-of-ripon-is-signed-restoring-peace-bet,"The Treaty of Ripon is signed, restoring peace between",1640,diplomatic,medium,"The Treaty of Ripon is signed, restoring peace between Covenanter Scotland and King Charles."
end-of-the-iberian-union-portugal-acclaims-as-kin,End of the Iberian Union: Portugal acclaims as King João IV,1640,diplomatic,medium,"End of the Iberian Union: Portugal acclaims as King João IV of Portugal, ending 59 years of personal union of the crowns of Portugal and Spain and the end of the rule of the Philippine Dynasty."
the-root-and-branch-petition-signed-by-15000-lon,"The Root and Branch petition, signed by 15,000 Londoners",1640,diplomatic,medium,"The Root and Branch petition, signed by 15,000 Londoners calling for the abolition of the episcopacy, is presented to the Long Parliament."
the-battle-of-carbisdale-a-royalist-army-from-ork,The Battle of Carbisdale: A Royalist army from Orkney,1650,conflict,medium,The Battle of Carbisdale: A Royalist army from Orkney invades mainland Scotland but is defeated by a Covenanter army.
colonel-george-monck-of-the-english-army-forms-mon,Colonel George Monck of the English Army forms Monck's,1650,conflict,medium,"Colonel George Monck of the English Army forms Monck's Regiment of Foot, which will later become the Coldstream Guards."
victory-over-the-royalists-in-the-battle-of-dunbar,Victory over the royalists in the Battle of Dunbar opens,1650,conflict,easy,Victory over the royalists in the Battle of Dunbar opens the way to Edinburgh for the New Model Army in the Third English Civil War.
with-the-accession-of-young-charles-xi-of-sweden,"With the accession of young Charles XI of Sweden, his",1660,conflict,medium,"With the accession of young Charles XI of Sweden, his regents begin negotiations to end the Second Northern War."
the-long-parliament-of-england-is-dissolved-so-as,The Long Parliament of England is dissolved so as to,1660,diplomatic,medium,The Long Parliament of England is dissolved so as to prepare for the new Convention Parliament.
declaration-of-breda-by-king-charles-ii-of-great-b,Declaration of Breda by King Charles II of Great Britain,1660,diplomatic,easy,"Declaration of Breda by King Charles II of Great Britain promises, among other things, a general pardon to all royalists and opponents of the monarchy for crimes committed during the English Civil War and the Interregnum."
treaty-of-oliva-is-established-between-sweden-and,Treaty of Oliva is established between Sweden and Poland.,1660,diplomatic,medium,Treaty of Oliva is established between Sweden and Poland.
the-battle-of-long-sault-concludes-after-five-days,The Battle of Long Sault concludes after five days in which,1660,conflict,medium,"The Battle of Long Sault concludes after five days in which French colonial militia, with their Huron and Algonquin allies, are defeated by the Iroquois Confederacy."
charles-ii-lands-at-dover-at-the-invitation-of-the,Charles II lands at Dover at the invitation of the,1660,diplomatic,medium,"Charles II lands at Dover at the invitation of the Convention Parliament, which marks the end of the Cromwell-proclaimed Commonwealth of England, Scotland and Ireland and begins the Restoration of the British monarchy."
english-restoration-charles-ii-is-restored-to-the,English Restoration: Charles II is restored to the throne,1660,cultural,medium,"English Restoration: Charles II is restored to the throne of England, Scotland and Ireland."
the-nine-regicides-who-signed-the-death-warrant-of,The nine regicides who signed the death warrant of Charles,1660,conflict,medium,"The nine regicides who signed the death warrant of Charles I of England are hanged, drawn and quartered."
at-gresham-college-twelve-men-including-christop,"At Gresham College, twelve men, including Christopher Wren,",1660,cultural,medium,"At Gresham College, twelve men, including Christopher Wren, Robert Boyle, John Wilkins, and Sir Robert Moray decide to found what is later known as the Royal Society."
a-woman-either-margaret-hughes-or-anne-marshall,A woman (either Margaret Hughes or Anne Marshall) appears,1660,exploration,medium,"A woman (either Margaret Hughes or Anne Marshall) appears on an English public stage for the first time, in the role of Desdemona in a production of Shakespeare's play Othello."
henry-morgan-captures-panama,Henry Morgan captures Panama.,1670,cultural,medium,Henry Morgan captures Panama.
