badge_id,badge_name,family,tier,unlock_criteria,event_name,event_id,event_year,event_category,cloudinary_url,gemini_prompt
11,Category Buff: Diplomatic,Collection,Steel,Place 5 Diplomatic events,Magna Carta Signed,magna-carta,1215,diplomatic,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/magna-carta_n1rc9i?_a=BAMAMiiu0","Using the attached image of ""Magna Carta Signed"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick blued steel engraved rim. Inscribe the title ""Category Buff: Diplomatic"" in elegant serif capitals along the top arc and ""Place 5 Diplomatic events"" along the bottom arc. Add a wax-seal-and-scroll motif and a pair of olive branches for the Diplomatic category. Add a small navy enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
12,Category Buff: Disasters,Collection,Steel,Place 5 Disasters events,Destruction of Pompeii,pompeii,79,disasters,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/pompeii_mmd3nh?_a=BAMAMiiu0","Using the attached image of ""Destruction of Pompeii"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick blued steel engraved rim. Inscribe the title ""Category Buff: Disasters"" in elegant serif capitals along the top arc and ""Place 5 Disasters events"" along the bottom arc. Ring the rim with stylised flames and cracked-earth engraving for the Disasters category. Add a small ember-orange enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
13,Category Buff: Exploration,Collection,Steel,Place 5 Exploration events,Wright Brothers' First Flight,wright-brothers-flight,1903,exploration,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/wright-brothers-flight_bwni0n?_a=BAMAMiiu0","Using the attached image of ""Wright Brothers' First Flight"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick blued steel engraved rim. Inscribe the title ""Category Buff: Exploration"" in elegant serif capitals along the top arc and ""Place 5 Exploration events"" along the bottom arc. Add a compass-rose and tiny propeller/wing motif for the Exploration category. Add a small sky-blue enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
14,Category Buff: Infrastructure,Collection,Steel,Place 5 Infrastructure events,Eiffel Tower Completed,eiffel-tower,1889,infrastructure,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/eiffel-tower_hmglcq?_a=BAMAMiiu0","Using the attached image of ""Eiffel Tower Completed"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick blued steel engraved rim. Inscribe the title ""Category Buff: Infrastructure"" in elegant serif capitals along the top arc and ""Place 5 Infrastructure events"" along the bottom arc. Add a gear, girder and rivet motif on the rim for the Infrastructure category. Add a small slate-gray enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
15,Category Buff: People,Collection,Steel,Place 5 People events,Shakespeare Born,shakespeare-born,1564,cultural,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/shakespeare-born_nwygy0?_a=BAMAMiiu0","Using the attached image of ""Shakespeare Born"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick blued steel engraved rim. Inscribe the title ""Category Buff: People"" in elegant serif capitals along the top arc and ""Place 5 People events"" along the bottom arc. Frame the portrait cameo with a laurel and a small quill for the People category. Add a small forest-green enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
16,Ancient Historian,Collection,Verdigris,Place an event older than 1000 BCE,Battle of Megiddo,battle-megiddo,-1457,conflict,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/battle-megiddo_b8ke6w?_a=BAMAMiiu0","Using the attached image of ""Battle of Megiddo"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick ancient verdigris bronze engraved rim. Inscribe the title ""Ancient Historian"" in elegant serif capitals along the top arc and ""Place an event older than 1000 BCE"" along the bottom arc. Make the medal look excavated and patinated, rim carved with faux-cuneiform glyphs, edges worn with age. Add a small aged-gold enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
17,Across the Ages,Collection,Gold,Place events spanning many centuries,Great Wall of China,great-wall-china,-221,infrastructure,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/great-wall-china_xtcx8z?_a=BAMAMiiu0","Using the attached image of ""Great Wall of China"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick two-tone gold and silver engraved rim. Inscribe the title ""Across the Ages"" in elegant serif capitals along the top arc and ""Place events spanning many centuries"" along the bottom arc. Wrap the rim in an hourglass-and-laurel motif; let the metal shade from aged patina on one side to bright gold on the other to show time's passage. Add a small jade-green enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
18,Hard Mode,Collection,Obsidian,Place 10 very-hard events,First Everest Summit,everest,1953,exploration,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/everest_gqjhcl?_a=BAMAMiiu0","Using the attached image of ""First Everest Summit"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick dark obsidian with gold inlay engraved rim. Inscribe the title ""Hard Mode"" in elegant serif capitals along the top arc and ""Place 10 very-hard events"" along the bottom arc. Carve jagged mountain peaks into the rim and add a small gold ice-axe; a cold, severe, high-difficulty look. Add a small ice-white enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
19,On a Roll,Streak,Bronze,In-game streak of 5,Blitzkrieg Tactics Deployed,blitzkrieg-tactics-deployed,1939,conflict,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/blitzkrieg-tactics-deployed_igse4f?_a=BAMAMiiu0","Using the attached image of ""Blitzkrieg Tactics Deployed"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick warm bronze engraved rim. Inscribe the title ""On a Roll"" in elegant serif capitals along the top arc and ""In-game streak of 5"" along the bottom arc. Add motion streaks and a single small flame to suggest gathering momentum (streak of 5). Add a small amber enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
20,Momentum,Streak,Copper,In-game streak of 10,Genghis Khan Unites Mongols,genghis-khan,1206,conflict,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/genghis-khan_kvlsgi?_a=BAMAMiiu0","Using the attached image of ""Genghis Khan Unites Mongols"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick burnished copper engraved rim. Inscribe the title ""Momentum"" in elegant serif capitals along the top arc and ""In-game streak of 10"" along the bottom arc. Add galloping motion lines and two flames around the cameo (streak of 10). Add a small amber enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
21,Rampage,Streak,Silver,In-game streak of 15,Alexander Conquers Persia,alexander-empire,-331,conflict,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/alexander-empire_duesbg?_a=BAMAMiiu0","Using the attached image of ""Alexander Conquers Persia"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick brushed silver engraved rim. Inscribe the title ""Rampage"" in elegant serif capitals along the top arc and ""In-game streak of 15"" along the bottom arc. Add bold radiating speed-lines and three flames; a conquering, surging feel (streak of 15). Add a small amber enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
22,Juggernaut,Streak,Gold,In-game streak of 20,Napoleon Crowned Emperor,napoleon-emperor,1804,conflict,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/napoleon-emperor_owadjr?_a=BAMAMiiu0","Using the attached image of ""Napoleon Crowned Emperor"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick rich gold engraved rim. Inscribe the title ""Juggernaut"" in elegant serif capitals along the top arc and ""In-game streak of 20"" along the bottom arc. Add a laurel-crown and four flames blazing around the rim (streak of 20). Add a small amber enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
23,Unstoppable,Streak,Platinum,In-game streak of 25,Charlemagne Crowned Emperor,charlemagne,800,conflict,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/charlemagne_uodxna?_a=BAMAMiiu0","Using the attached image of ""Charlemagne Crowned Emperor"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick platinum with gold flames engraved rim. Inscribe the title ""Unstoppable"" in elegant serif capitals along the top arc and ""In-game streak of 25"" along the bottom arc. Engulf the rim in five stylised flames and an imperial crown; the pinnacle streak badge (streak of 25). Add a small white-gold enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
24,Habit,Cadence,Bronze,Daily streak of 3 days,Monet's Impression Sunrise,monets-impression-sunrise,1872,diplomatic,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/monets-impression-sunrise_xvobz6?_a=BAMAMiiu0","Using the attached image of ""Monet's Impression Sunrise"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick warm bronze engraved rim. Inscribe the title ""Habit"" in elegant serif capitals along the top arc and ""Daily streak of 3 days"" along the bottom arc. Add a small rising-sun motif at the base of the rim for an early daily habit (3-day streak). Add a small peach enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
25,Routine,Cadence,Silver,Daily streak of 7 days,Mayan Calendar System,mayan-written-calendar,-100,cultural,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/mayan-written-calendar_di0dm3?_a=BAMAMiiu0","Using the attached image of ""Mayan Calendar System"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick brushed silver engraved rim. Inscribe the title ""Routine"" in elegant serif capitals along the top arc and ""Daily streak of 7 days"" along the bottom arc. Ring the rim with a seven-segment calendar-glyph band (7-day streak). Add a small turquoise enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
26,Devotion,Cadence,Gold,Daily streak of 30 days,Maya Calendar Precision,maya-astronomical-calendar,700,exploration,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/maya-astronomical-calendar_mcjyty?_a=BAMAMiiu0","Using the attached image of ""Maya Calendar Precision"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick rich gold engraved rim. Inscribe the title ""Devotion"" in elegant serif capitals along the top arc and ""Daily streak of 30 days"" along the bottom arc. Carve a full circular calendar-wheel of glyphs into the rim (30-day streak). Add a small turquoise enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
27,Eternal,Cadence,Diamond,Daily streak of 100 days,Russia Adopts Modern Calendar,russia-anno-domini,1700,cultural,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/russia-anno-domini_tonm54?_a=BAMAMiiu0","Using the attached image of ""Russia Adopts Modern Calendar"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick platinum set with diamonds engraved rim. Inscribe the title ""Eternal"" in elegant serif capitals along the top arc and ""Daily streak of 100 days"" along the bottom arc. Set the rim with tiny brilliant gems and an ouroboros (endless) motif for the ultimate 100-day streak. Add a small ice-blue enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
28,Chronologist I,Single-Game,Bronze,Best single game of 10 correct,Sundial Invented,sundial-invented,-1500,exploration,"https://res.cloudinary.com/dscb8inz1/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:good/sundial-invented_mbbrtd?_a=BAMAMiiu0","Using the attached image of ""Sundial Invented"", create an ornate circular achievement medal for the mobile history game ""When"". Embed the supplied image as a full-color domed cameo inset at the center of the medallion, set behind a subtle beveled-glass lens so the original scene stays clearly recognizable. Surround it with a thick warm bronze engraved rim. Inscribe the title ""Chronologist I"" in elegant serif capitals along the top arc and ""Best single game of 10 correct"" along the bottom arc. Add sundial gnomon-and-shadow lines radiating across the rim (best of 10). Add a small sunstone-gold enamel ribbon banner across the lower third. Style: highly detailed museum-quality struck-metal medal, soft studio lighting with gentle reflections and depth, centered composition, clean dark-neutral or transparent background, square 1:1 framing sized for a trophy-case grid. Do not add extra text beyond the title and criteria; keep the cameo image faithful to the original."
