friendly_name,wikipedia_url,wikipedia_views,category,year,difficulty
Bilbao Metro Opens,https://en.wikipedia.org/wiki/Bilbao_metro,28284,infrastructure,1995,very-hard
Alfred the Great Recaptures London,https://en.wikipedia.org/wiki/List_of_battles_301–1300,28334,conflict,886,very-hard
Arabs Capture Carthage,https://en.wikipedia.org/wiki/Battle_of_Carthage_(698),28910,cultural,698,very-hard
Great Fire of New York,https://en.wikipedia.org/wiki/Great_Fire_of_New_York,29701,disasters,1835,very-hard
Great Comet of 1680 Discovered,https://en.wikipedia.org/wiki/Great_Comet_of_1680,30550,exploration,1680,very-hard
Theodosian Code,https://en.wikipedia.org/wiki/Codex_Theodosianus,30771,diplomatic,438,very-hard
Ethiopian Revolution,https://en.wikipedia.org/wiki/Ethiopian_Revolution,31278,conflict,1974,very-hard
Battle of Legnano,https://en.wikipedia.org/wiki/Battle_of_Legnano,31363,conflict,1176,very-hard
Synod of Whitby,https://en.wikipedia.org/wiki/Synod_of_Whitby,32392,cultural,664,very-hard
Papal Bull Unam Sanctam,https://en.wikipedia.org/wiki/Unam_sanctam,32695,cultural,1302,very-hard
Notre Dame du Haut Completed,https://en.wikipedia.org/wiki/Notre-Dame_du_Haut,32864,infrastructure,1955,very-hard
Courrières Mine Disaster,https://en.wikipedia.org/wiki/Courrières_mine_disaster,34251,disasters,1906,very-hard
Battle of Ayacucho,https://en.wikipedia.org/wiki/Battle_of_Ayacucho,34681,conflict,1824,very-hard
Treaty of Nystad,https://en.wikipedia.org/wiki/Treaty_of_Nystad,35385,diplomatic,1721,very-hard
Ohio Canals Authorized,https://en.wikipedia.org/wiki/Ohio_and_Erie_Canal,35668,infrastructure,1825,very-hard
Portuguese Discover Cape Verde,https://en.wikipedia.org/wiki/Portuguese_Cape_Verde,36050,exploration,1456,very-hard
Haiyuan Earthquake,https://en.wikipedia.org/wiki/1920_Haiyuan_earthquake,36803,disasters,1920,very-hard
Singapore Flyer Opens,https://en.wikipedia.org/wiki/Singapore_Flyer,37110,infrastructure,2008,very-hard
Peace of the Pyrenees,https://en.wikipedia.org/wiki/Treaty_of_the_Pyrenees,38141,diplomatic,1659,very-hard
Nara Period Begins,https://en.wikipedia.org/wiki/8th_century,38202,cultural,710,very-hard
Ohio River Flood,https://en.wikipedia.org/wiki/Ohio_River_flood_of_1937,39074,disasters,1937,very-hard
Crossing of the Rhine,https://en.wikipedia.org/wiki/Crossing_of_the_Rhine,39130,conflict,406,very-hard
Princess Alice Disaster,https://en.wikipedia.org/wiki/Sinking_of_SS_Princess_Alice,39566,disasters,1878,very-hard
Battle of Nancy,https://en.wikipedia.org/wiki/Battle_of_Nancy,40052,conflict,1477,very-hard
Dutch Iconoclasm,https://en.wikipedia.org/wiki/Beeldenstorm,40458,cultural,1566,very-hard
Zhang Heng Invents Seismoscope,https://en.wikipedia.org/wiki/Zhang_Heng,40509,exploration,132,very-hard
Battle of Sluys,https://en.wikipedia.org/wiki/Battle_of_Sluys,42799,conflict,1340,very-hard
Lever House Completed,https://en.wikipedia.org/wiki/Lever_House,43293,infrastructure,1952,very-hard
365 Crete Earthquake,https://en.wikipedia.org/wiki/365_Crete_earthquake,44297,disasters,365,very-hard
Thales Predicts Eclipse,https://en.wikipedia.org/wiki/Eclipse_of_Thales,45101,exploration,-585,very-hard
Battle of Pydna,https://en.wikipedia.org/wiki/Battle_of_Pydna,46461,conflict,-168,very-hard
Battle of Ipsus,https://en.wikipedia.org/wiki/Battle_of_Ipsus,46538,diplomatic,-301,very-hard
Lion Gate of Mycenae Built,https://en.wikipedia.org/wiki/Lion_Gate,46770,infrastructure,-1250,very-hard
Treaty of Aix-la-Chapelle,https://en.wikipedia.org/wiki/Treaty_of_Aix-la-Chapelle_(1748),48171,diplomatic,1748,very-hard
Los Angeles City Hall Completed,https://en.wikipedia.org/wiki/Los_Angeles_City_Hall,48738,infrastructure,1928,very-hard
Room-Temperature Superconductor Claims,https://en.wikipedia.org/wiki/Room-temperature_superconductor,51437,exploration,2023,very-hard
God Emperor Ascends to the Golden Throne,https://en.wikipedia.org/wiki/Throne,51790,cultural,30000,very-hard
Plague of Cyprian,https://en.wikipedia.org/wiki/Plague_of_Cyprian,51836,disasters,249,very-hard
Petrarch Begins Sonnets,https://en.wikipedia.org/wiki/Petrarchan_sonnet,51864,cultural,1327,very-hard
First Known Peace Treaty Signed,https://en.wikipedia.org/wiki/Peace_treaty,52058,diplomatic,-1259,very-hard
Battle of Marignano,https://en.wikipedia.org/wiki/Battle_of_Marignano,53648,conflict,1515,very-hard
Peisistratos Becomes Tyrant of Athens,https://en.wikipedia.org/wiki/Pisistratus,54036,conflict,-546,very-hard
Cloaca Maxima Built,https://en.wikipedia.org/wiki/Cloaca_Maxima,54148,infrastructure,-600,very-hard
Byzantine Iconoclasm Begins,https://en.wikipedia.org/wiki/Leo_V_the_Armenian,54480,cultural,726,very-hard
Gupta Empire Founded,https://en.wikipedia.org/wiki/List_of_Gupta_emperors,55006,diplomatic,320,very-hard
Dionysius Exiguus Creates AD System,https://en.wikipedia.org/wiki/Dionysius_Exiguus,56590,exploration,525,very-hard
Burke's Reflections Published,https://en.wikipedia.org/wiki/Reflections_on_the_Revolution_in_France,57357,cultural,1790,very-hard
The Golden Bull,https://en.wikipedia.org/wiki/Golden_Bull_of_1356,57525,diplomatic,1356,very-hard
Battle of Lechfeld,https://en.wikipedia.org/wiki/Battle_of_Lechfeld,57617,conflict,955,very-hard
Hull House Founded,https://en.wikipedia.org/wiki/Hull_House,58095,cultural,1889,very-hard
St. Gotthard Road Tunnel Opens,https://en.wikipedia.org/wiki/Gotthard_Road_Tunnel,58463,infrastructure,1980,very-hard
Antioch Earthquake,https://en.wikipedia.org/wiki/526_Antioch_earthquake,59343,disasters,526,very-hard
General Strike in Britain,https://en.wikipedia.org/wiki/1926_United_Kingdom_general_strike,59464,exploration,1926,very-hard
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(1918),60118,conflict,-1457,very-hard
Beginning of New Kingdom Egypt,https://en.wikipedia.org/wiki/Twentieth_Dynasty_of_Egypt,60749,conflict,-1550,very-hard
Huaynaputina Eruption,https://en.wikipedia.org/wiki/Huaynaputina,62304,disasters,1600,very-hard
Mungo Park Explores Niger,https://en.wikipedia.org/wiki/Mungo_Park_(explorer),63915,exploration,1805,very-hard
Spinoza's Ethics Published,https://en.wikipedia.org/wiki/Spinoza's_Ethics,64195,cultural,1677,very-hard
Jin Dynasty Reunifies China,https://en.wikipedia.org/wiki/Emperor_Wu_of_Jin,64222,diplomatic,280,very-hard
TWA Flight 3 Crash,https://en.wikipedia.org/wiki/TWA_Flight_3,64556,disasters,1942,very-hard
Walls of Jericho Built,https://en.wikipedia.org/wiki/Tell_es-Sultan,65651,infrastructure,-8000,very-hard
Dampier Circumnavigates,https://en.wikipedia.org/wiki/William_Dampier,67017,exploration,1691,very-hard
Dampier Circumnavigates New Britain,https://en.wikipedia.org/wiki/William_Dampier,67017,exploration,1700,very-hard
Battle of the Golden Spurs,https://en.wikipedia.org/wiki/Battle_of_the_Golden_Spurs,67737,conflict,1302,very-hard
Battle of Bouvines,https://en.wikipedia.org/wiki/Battle_of_Bouvines,68578,conflict,1214,very-hard
Samalas Eruption,https://en.wikipedia.org/wiki/1257_Samalas_eruption,68988,disasters,1257,very-hard
Marian Reforms,https://en.wikipedia.org/wiki/Marian_reforms,69286,diplomatic,-107,very-hard
Battle of Guadalete,https://en.wikipedia.org/wiki/Battle_of_Guadalete,70040,conflict,711,very-hard
Franco-Dutch War Begins,https://en.wikipedia.org/wiki/Third_Anglo-Dutch_War,70437,conflict,1672,very-hard
Great Belt Bridge Completed,https://en.wikipedia.org/wiki/Great_Belt_Bridge,70556,infrastructure,1998,very-hard
Gwadar Port Development Begins,https://en.wikipedia.org/wiki/Gwadar_Port,70832,infrastructure,2002,very-hard
Great Caribbean Hurricane,https://en.wikipedia.org/wiki/Great_Hurricane_of_1780,76220,disasters,1780,very-hard
Giotto Paints Scrovegni Chapel,https://en.wikipedia.org/wiki/Scrovegni_Chapel,77840,cultural,1305,very-hard
Farnsworth House Completed,https://en.wikipedia.org/wiki/Farnsworth_House,78513,infrastructure,1951,very-hard
League of Corinth Formed,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),79594,diplomatic,-337,very-hard
Crossrail Construction Begins,https://en.wikipedia.org/wiki/Crossrail_2,83427,infrastructure,2009,very-hard
Sulla's Civil War,https://en.wikipedia.org/wiki/Sulla's_civil_war,84651,diplomatic,-82,very-hard
Barents Explores Arctic,https://en.wikipedia.org/wiki/List_of_Arctic_expeditions,84720,exploration,1596,very-hard
Kishinev Pogrom,https://en.wikipedia.org/wiki/Kishinev_pogrom,85798,conflict,1903,very-hard
Battle of Legnica,https://en.wikipedia.org/wiki/Battle_of_Legnica,86670,conflict,1241,very-hard
Cluny Abbey Founded,https://en.wikipedia.org/wiki/Cluny_Abbey,88994,cultural,910,very-hard
Grotius Publishes On the Law of War and Peace,https://en.wikipedia.org/wiki/Hugo_Grotius,89256,conflict,1625,very-hard
Humber Bridge Opens,https://en.wikipedia.org/wiki/Humber_Bridge,90133,infrastructure,1981,very-hard
Vandals Take Carthage,https://en.wikipedia.org/wiki/Roman_Carthage,91211,conflict,439,very-hard
Council of Constance,https://en.wikipedia.org/wiki/Council_of_Constance,91588,cultural,1414,very-hard
Flagellant Movement,https://en.wikipedia.org/wiki/Flagellant,93547,cultural,1348,very-hard
Pytheas Explores the Arctic,https://en.wikipedia.org/wiki/Pytheas,97360,exploration,-325,very-hard
Marina City Completed,https://en.wikipedia.org/wiki/Marina_City,97431,infrastructure,1964,very-hard
Code of Ur-Nammu,https://en.wikipedia.org/wiki/Code_of_Ur-Nammu,97734,cultural,-2100,very-hard
Nadir Shah Sacks Delhi,https://en.wikipedia.org/wiki/Nader_Shah's_invasion_of_India,98063,conflict,1738,very-hard
Battle of Navarino,https://en.wikipedia.org/wiki/Battle_of_Navarino,98271,conflict,1827,very-hard
General Slocum Disaster,https://en.wikipedia.org/wiki/PS_General_Slocum,100671,disasters,1904,very-hard
Tiberius Gracchus Reforms,https://en.wikipedia.org/wiki/Tiberius_Gracchus,102542,diplomatic,-133,very-hard
Battle of Leuctra,https://en.wikipedia.org/wiki/Battle_of_Leuctra,108706,conflict,-371,very-hard
Sixth Crusade Treaty,https://en.wikipedia.org/wiki/Sixth_Crusade,110242,conflict,1229,very-hard
Storegga Tsunami,https://en.wikipedia.org/wiki/Storegga_Slide,110250,disasters,-6100,very-hard
Bach Completes Well-Tempered Clavier,https://en.wikipedia.org/wiki/The_Well-Tempered_Clavier,112209,cultural,1722,very-hard
League of Cambrai,https://en.wikipedia.org/wiki/War_of_the_League_of_Cambrai,112935,diplomatic,1508,very-hard
Lloyd's Building Completed,https://en.wikipedia.org/wiki/Lloyd's_building,116556,infrastructure,1986,very-hard
Birth of Mencius,https://en.wikipedia.org/wiki/Mencius,118357,cultural,-372,very-hard
Battle of Kulikovo,https://en.wikipedia.org/wiki/Battle_of_Kulikovo,118404,conflict,1380,very-hard
Hero's Aeolipile,https://en.wikipedia.org/wiki/Aeolipile,124430,exploration,50,very-hard
Third Afghan War,https://en.wikipedia.org/wiki/Third_Anglo-Afghan_War,124859,conflict,1919,very-hard
Edward IV Crowned,https://en.wikipedia.org/wiki/St_Edward's_Crown,125244,conflict,1461,very-hard
Confederation Bridge Opens,https://en.wikipedia.org/wiki/Confederation_Bridge,134905,infrastructure,1997,very-hard
Gunpowder Warfare in Europe,https://en.wikipedia.org/wiki/Gunpowder_empires,136729,conflict,1350,very-hard
Vatican Museums Spiral Staircase,https://en.wikipedia.org/wiki/Vatican_Museums,142368,infrastructure,1932,very-hard
Philip VI Becomes King of France,https://en.wikipedia.org/wiki/Louis_VI_of_France,142824,diplomatic,1328,very-hard
Battle of Varna,https://en.wikipedia.org/wiki/Battle_of_Varna,144362,conflict,1444,very-hard
Eastland Disaster,https://en.wikipedia.org/wiki/SS_Eastland,146368,disasters,1915,very-hard
Siege of Syracuse,https://en.wikipedia.org/wiki/Siege_of_Syracuse_(213–212_BC),154650,conflict,-212,very-hard
Yellow Turban Rebellion,https://en.wikipedia.org/wiki/Yellow_Turban_Rebellion,156447,conflict,184,very-hard
Augustine Arrives in England,https://en.wikipedia.org/wiki/Confessions_(Augustine),158893,cultural,597,very-hard
Kamakura Shogunate Established,https://en.wikipedia.org/wiki/Kamakura_shogunate,159100,cultural,1185,very-hard
Vandals Conquer North Africa,https://en.wikipedia.org/wiki/Vandal_Kingdom,160280,conflict,429,very-hard
Danyang-Kunshan Grand Bridge Opens,https://en.wikipedia.org/wiki/Danyang–Kunshan_Grand_Bridge,162786,infrastructure,2010,very-hard
Year of the Five Emperors,https://en.wikipedia.org/wiki/Year_of_the_Five_Emperors,165166,conflict,193,very-hard
St. Francis Dam Failure,https://en.wikipedia.org/wiki/St._Francis_Dam,165438,disasters,1928,very-hard
Black Sea Deluge Theory,https://en.wikipedia.org/wiki/Black_Sea_deluge_hypothesis,177629,disasters,-5600,very-hard
Zanzibar Revolution,https://en.wikipedia.org/wiki/Zanzibar_Revolution,182788,conflict,1964,very-hard
Thule Air Base B-52 Crash,https://en.wikipedia.org/wiki/1968_Thule_Air_Base_B-52_crash,183161,disasters,1968,very-hard
Lake Pontchartrain Causeway Expanded,https://en.wikipedia.org/wiki/Lake_Pontchartrain,192262,infrastructure,1969,very-hard
Hanno Explores West Africa,https://en.wikipedia.org/wiki/Hanno_the_Navigator,193381,exploration,-500,very-hard
Battle of Carrhae,https://en.wikipedia.org/wiki/Battle_of_Carrhae,205508,conflict,-53,very-hard
Council of Chalcedon,https://en.wikipedia.org/wiki/Council_of_Chalcedon,212227,cultural,451,very-hard
Theodoric Establishes Ostrogothic Kingdom,https://en.wikipedia.org/wiki/Ostrogothic_Kingdom,224770,diplomatic,493,very-hard
Great Persecution of Christians,https://en.wikipedia.org/wiki/Persecution_of_Christians_in_the_Roman_Empire,226319,cultural,303,very-hard
Battle of Talas,https://en.wikipedia.org/wiki/Battle_of_Talas,228579,conflict,751,very-hard
Monte Cassino Founded,https://en.wikipedia.org/wiki/Monte_Cassino,229968,cultural,529,very-hard
Harun al-Rashid Becomes Caliph,https://en.wikipedia.org/wiki/Harun_al-Rashid,234307,cultural,786,very-hard
Skara Brae Settlement,https://en.wikipedia.org/wiki/Skara_Brae,237889,infrastructure,-3180,very-hard
Çatalhöyük Settlement Flourishes,https://en.wikipedia.org/wiki/Çatalhöyük,240664,infrastructure,-7000,very-hard
Songhai Empire Established,https://en.wikipedia.org/wiki/Songhai_Empire,241307,cultural,1464,very-hard
El Greco Arrives in Spain,https://en.wikipedia.org/wiki/El_Greco,243715,cultural,1577,very-hard
Hyksos Invasion of Egypt,https://en.wikipedia.org/wiki/Hyksos,249167,conflict,-1650,very-hard
Sunshine Skyway Bridge Opens,https://en.wikipedia.org/wiki/Sunshine_Skyway_Bridge,256165,infrastructure,1987,very-hard
Latin Vulgate Bible Completed,https://en.wikipedia.org/wiki/Vulgate,256954,cultural,405,very-hard
Toba Supereruption,https://en.wikipedia.org/wiki/Youngest_Toba_eruption,271518,disasters,-74000,very-hard
Fall of Western Jin,https://en.wikipedia.org/wiki/Jin_dynasty_(266–420),274776,diplomatic,316,very-hard
Upanishads Composed,https://en.wikipedia.org/wiki/Upanishads,302473,cultural,-800,very-hard
Julian Attempts Pagan Revival,https://en.wikipedia.org/wiki/Julian_(emperor),326427,cultural,360,very-hard
Visigoths Settle in Aquitaine,https://en.wikipedia.org/wiki/Visigothic_Kingdom,335947,diplomatic,418,very-hard
Gregory the Great Becomes Pope,https://en.wikipedia.org/wiki/Pope_Gregory_I,343658,cultural,590,very-hard
Heian Period Begins,https://en.wikipedia.org/wiki/Heian_period,381933,cultural,794,very-hard
First New York Synagogue,https://en.wikipedia.org/wiki/New_York_City_synagogue_tunnel_incident,388852,exploration,1730,very-hard
Rigveda Composed,https://en.wikipedia.org/wiki/Rigveda,421067,cultural,-1500,very-hard
Axumite Empire Established,https://en.wikipedia.org/wiki/Kingdom_of_Aksum,424012,cultural,100,very-hard
Great Syria Earthquake,https://en.wikipedia.org/wiki/2023_Turkey–Syria_earthquakes,426396,disasters,1202,very-hard
Yellowstone Supereruption,https://en.wikipedia.org/wiki/Yellowstone_Caldera,445117,disasters,-640000,very-hard
Kingdom of Kush Flourishes,https://en.wikipedia.org/wiki/Kingdom_of_Kush,449820,cultural,-1500,very-hard
I Ching Compiled,https://en.wikipedia.org/wiki/I_Ching,455930,cultural,-1000,very-hard
Chilean Earthquake and Tsunami,https://en.wikipedia.org/wiki/1960_Valdivia_earthquake,558273,disasters,1730,very-hard
End of Philippine-American War,https://en.wikipedia.org/wiki/Philippine–American_War,563680,conflict,1902,very-hard
Septuagint Translated,https://en.wikipedia.org/wiki/Septuagint,628108,cultural,-250,very-hard
Roger Bacon Promotes Scientific Method,https://en.wikipedia.org/wiki/Scientific_method,638006,exploration,1267,very-hard
Zoroaster Founds Zoroastrianism,https://en.wikipedia.org/wiki/Zoroaster,653289,cultural,-1000,very-hard
Merdeka 118 Completed,https://en.wikipedia.org/wiki/Merdeka_118,671453,infrastructure,2023,very-hard
Anaximander's World Map,https://en.wikipedia.org/wiki/World_map,881893,exploration,-550,very-hard
Jeddah Tower Construction Begins,https://en.wikipedia.org/wiki/Jeddah_Tower,898622,infrastructure,2013,very-hard
Chinese Reach Americas (Disputed),https://en.wikipedia.org/wiki/China–United_States_trade_war,969153,exploration,1421,very-hard
Phoenicians Circumnavigate Africa,https://en.wikipedia.org/wiki/Phoenicia,1024800,exploration,-600,very-hard
Russia Adopts Modern Calendar,https://en.wikipedia.org/wiki/Gregorian_calendar,1133253,cultural,1700,very-hard
Göbekli Tepe Constructed,https://en.wikipedia.org/wiki/Göbekli_Tepe,1267579,infrastructure,-9500,very-hard
Spanish Flu Second Wave,https://en.wikipedia.org/wiki/Second_wave,553,disasters,1918,hard
Treaty of Frankfurt,https://en.wikipedia.org/wiki/Treaty_of_Frankfurt,559,diplomatic,1871,hard
Battle of Quebec,https://en.wikipedia.org/wiki/Battle_of_Quebec,1160,conflict,1759,hard
Social War,https://en.wikipedia.org/wiki/Social_War,1512,diplomatic,-91,hard
Birth of Martin Luther,https://en.wikipedia.org/wiki/Martin_Luther's_Birth_House,2254,cultural,1483,hard
Somali Famine,https://en.wikipedia.org/wiki/Famine_in_Somalia,2328,disasters,1992,hard
Channel Tunnel Breakthrough,https://en.wikipedia.org/wiki/Breakthrough,3372,infrastructure,1990,hard
Djibouti Independence,https://en.wikipedia.org/wiki/Independence_Day_(Djibouti),3741,diplomatic,1977,hard
Lebanon War,https://en.wikipedia.org/wiki/Lebanon_War,4095,conflict,1982,hard
Birth of Confucius,https://en.wikipedia.org/wiki/Confucius'_Birthday,4786,cultural,-551,hard
Morocco Independence,https://en.wikipedia.org/wiki/Proclamation_of_Independence_of_Morocco,6283,diplomatic,1956,hard
Bismarck Dismissed,https://en.wikipedia.org/wiki/Dropping_the_Pilot,7014,diplomatic,1890,hard
MERS Outbreak,https://en.wikipedia.org/wiki/MERS_outbreak,9826,disasters,2012,hard
Fall of Nineveh,https://en.wikipedia.org/wiki/Fall_of_Nineveh,10195,diplomatic,-612,hard
NASCAR Incorporated,https://en.wikipedia.org/wiki/Safety_in_NASCAR,10521,cultural,1948,hard
Papal Inquisition Established,https://en.wikipedia.org/wiki/Papal_Inquisition_in_Spain,11792,cultural,1252,hard
Copenhagen Climate Summit,https://en.wikipedia.org/wiki/Copenhagen_climate_summit,12104,disasters,2009,hard
Siege of Montségur,https://en.wikipedia.org/wiki/Siege_of_Montségur,12256,conflict,1244,hard
First Dinosaur Fossils Identified,https://en.wikipedia.org/wiki/Fossil_track,12314,exploration,1824,hard
ASEAN Charter,https://en.wikipedia.org/wiki/ASEAN_Charter,13148,diplomatic,2007,hard
Italian Plague,https://en.wikipedia.org/wiki/1629–1631_Italian_plague,14660,disasters,1629,hard
Fatimids Conquer Egypt,https://en.wikipedia.org/wiki/Fatimid_conquest_of_Egypt,15061,diplomatic,969,hard
Toledo Reconquered,https://en.wikipedia.org/wiki/Siege_of_Toledo_(1085),15831,diplomatic,1085,hard
First Cotton Mill Opens,https://en.wikipedia.org/wiki/Cromford_Mill,16072,infrastructure,1771,hard
Korean Air Lines 007 Shot Down,https://en.wikipedia.org/wiki/Korean_Air_Lines_Flight_007_alternative_theories,16490,conflict,1983,hard
Iran Earthquake,https://en.wikipedia.org/wiki/1990_Manjil–Rudbar_earthquake,16946,disasters,1990,hard
Super El Niño,https://en.wikipedia.org/wiki/2023–2024_El_Niño_event,17002,disasters,1997,hard
Venezuela Declares Independence,https://en.wikipedia.org/wiki/Venezuelan_Declaration_of_Independence,17748,diplomatic,1811,hard
Guatemala Earthquake,https://en.wikipedia.org/wiki/1976_Guatemala_earthquake,18248,disasters,1976,hard
India Nuclear Tests,https://en.wikipedia.org/wiki/List_of_nuclear_weapons_tests_of_India,18657,exploration,1998,hard
British North America Act,https://en.wikipedia.org/wiki/British_North_America_Acts,19253,diplomatic,1867,hard
Liberia Independence,https://en.wikipedia.org/wiki/Liberian_Declaration_of_Independence,19331,diplomatic,1847,hard
First Copyright Law,https://en.wikipedia.org/wiki/Copyright_law_of_the_United_Kingdom,19633,diplomatic,1710,hard
Treaty of Alcáçovas,https://en.wikipedia.org/wiki/Treaty_of_Alcáçovas,19744,diplomatic,1479,hard
Tunisia Independence,https://en.wikipedia.org/wiki/Tunisian_independence,19985,diplomatic,1956,hard
Burma Independence,https://en.wikipedia.org/wiki/Burma_Independence_Army,20925,diplomatic,1948,hard
