event_name,event_title,approximate_year,region,category,sources
bactrian-kingdom-prosperity,Bactrian Kingdom Flourishes,150,Central Asia,political,r2_antiquity
moche-mound-construction,Moche Mound Platform Completed,150,South America,architectural,r2_korea_americas
marcus-aurelius-meditations,Marcus Aurelius' Meditations Written,170,Rome,artistic,chronology
apuleius-golden-ass,Apuleius Writes The Golden Ass,170,Roman Empire,literary,r2_cultural
galen-medical-advances,Galen Medical Advances Compiled,180,Rome,medical,chronology
roman-roads-network,Roman Roads Network Expansion,200,Europe,architectural,chronology
library-pergamum,Library of Pergamum Flourishes,200,Anatolia,cultural,chronology
printing-woodblock-china,Woodblock Printing in China,200,China,invention,chronology
ajanta-caves,Ajanta Caves Buddhist Art,200,South Asia,artistic,gap_analysis
bactria-kingdom,Bactrian Kingdom Flourishes,200,Central Asia,political,gap_analysis
nazca-lines,Nazca Lines Construction Period,200,South America,artistic,gap_analysis
galen-medical-dominance,Galen Medical Authority Established,200,Rome,medical,consequence_chain
aksumite-coinage,Aksumite Empire Issues Own Coinage,200,Africa,economic,non_western
hopewell-culture,Hopewell Culture Trade Networks,200,North America,trade,non_western
buddhism-spreads-central-asia,Buddhism Spreads Through Central Asia,200,Central Asia,religious,r2_antiquity
charaka-samhita,Charaka Writes Medical Compendium,200,South Asia,medical,r2_antiquity
xiongnu-conflicts-han,Xiongnu Conflicts with Han Dynasty,200,Central Asia,military,r2_antiquity
battle-of-wei-qiao,Battle of Wei Qiao - Han-Xiongnu War,200,China,military,r2_antiquity
tocharian-kingdoms,Tocharian Kingdoms in Tarim Basin,200,Central Asia,political,r2_antiquity
meroitic-kingdom-nubia,Meroitic Kingdom Rules Nubia,200,Africa,political,r2_antiquity
mogollon-culture-agriculture,Mogollon Culture Practices Agriculture,200,North America,cultural,r2_antiquity
grain-price-controls,Roman Grain Price Controls Established,200,Roman Empire,monetary,r2_economic
salt-monopoly-china,Chinese Salt Monopoly Revenue System,200,China,monetary,r2_economic
mahabharata-complete,Mahabharata Epic Completed,200,South Asia,literary,r2_cultural
ramayana-classic-version,Ramayana Epic Standardized,200,South Asia,literary,r2_cultural
silk-road-textile-exchange,Silk Road Textile Trade and Exchange,200,Central Asia,cultural,r2_cultural
marquesas-settlement-east-polynesia,Marquesas Settlement Enables Eastern Polynesia Expansion,200 AD,Polynesia,exploration,r2_africa_pacific
moche-irrigation-system,Moche Irrigation Network Established,200,South America,agricultural,r2_korea_americas
han-expansion,Han Dynasty Expansion,206,East Asia,military,gap_analysis
hanzi-script-standardization,Han Dynasty Standardizes Hanzi Script,206,China,information,r2_paradigm_shifts
punic-wars-second,Second Punic War,218,Mediterranean,military,chronology
three-kingdoms-period,Three Kingdoms Period Begins,220,China,political,r2_antiquity
qin-standardization,Qin Dynasty Standardization of Measurements,221,China,governance,r2_paradigm_shifts
sasanian-empire-persia,Sassanid Empire of Persia,224,Persia,political,chronology
zoroastrianism-state-religion-persia,Zoroastrianism as State Religion of Persia,224,Persia,religious,r2_antiquity
eratosthenes-earth-circumference,Eratosthenes Calculates Earth's Circumference,240,Egypt,scientific,r2_scientific
maurya-ashoka,Ashoka Edict Pillar Erected,250,South Asia,political,"gap_analysis, non_western"
cyprian-bishop-carthage,Cyprian Bishop of Carthage Leadership,250,North Africa,religious,r2_antiquity
diophantus-algebra,Diophantus Writes Arithmetica,250,Egypt,scientific,r2_antiquity
mayan-written-calendar,Mayan Written Calendar System Develops,250,Mesoamerica,cultural,r2_antiquity
archimedes-buoyancy,Archimedes Discovers Principle of Buoyancy,250,Sicily,scientific,r2_scientific
hopewell-mound-group,Hopewell Mound Group Burial Rites,250,North America,religious,r2_korea_americas
ashoka-rock-edicts,Ashoka Rock Edicts Spread Buddhism,260,South Asia,religion,non_western
gallienus-crisis-empire,Gallienus Crisis of Third Century,260,Roman Empire,political,r2_antiquity
aurelian-reunites-empire,Aurelian Reunites Roman Empire,270,Roman Empire,military,r2_antiquity
aristarchus-heliocentric,Aristarchus Proposes Heliocentric Universe,270,Greece,scientific,r2_scientific
sima-yan-jin-unification,Sima Yan Unifies China - Jin Dynasty,280,China,military,r2_antiquity
split-roman-empire,Division of Roman Empire,285,Europe,political,chronology
funan-kingdom,Funan Kingdom Flourishes,300,Southeast Asia,political,gap_analysis
lakhmid-kingdom,Lakhmid Kingdom of Pre-Islamic Arabia,300,Middle East,political,non_western
first-public-library,Alexandria-Library,300,Egypt,institutions,historical_firsts
aksumite-red-sea-trade,Aksumite Control of Red Sea Trade,300,Africa,economic,r2_antiquity
nazca-settlement-lines,Nazca Culture Creates Geoglyphs,300,South America,artistic,r2_antiquity
spice-trade-indian-ocean,Spice Trade via Indian Ocean Expands,300,South Asia,economic,r2_antiquity
euclid-elements-geometry,Euclid Writes Elements of Geometry,300,Egypt,mathematical,r2_scientific
greek-mosaic-tradition,Greek Mosaic Art Tradition Flourishes,300,Greece,artistic,r2_cultural
damascus-steel-pattern,Damascus Steel and Pattern Welding,300,Persia,metallurgy,r2_tech_chains
diocletian-persecution-christians,Diocletian Persecution of Christians,303,Mediterranean,religious,chronology
donatist-controversy,Donatist Schism in African Christianity,311,North Africa,religious,r2_antiquity
constantine-conversion,Constantine's Conversion to Christianity,312,Mediterranean,religious,chronology
roman-roads,Roman Road System,312,Roman Empire,infrastructure,historical_firsts
eastern-jin-period,Eastern Jin Dynasty Established,317,China,political,r2_antiquity
arianism-controversy,Arianism Spreads in Christian Church,318,Mediterranean,religious,r2_antiquity
maurya-chandragupta,Chandragupta Maurya Unifies India,322,South Asia,political,non_western
council-of-antioch,Council of Antioch Addresses Arianism,328,Mediterranean,religious,r2_antiquity
rise-byzantine-empire,Rise of Byzantine Empire,330,Mediterranean,political,chronology
alexander-spreading-hellenism,Alexander the Great Spreads Hellenism,330,Middle East/Asia,cultural,consequence_chain
aksumite-christianity,Aksumite Empire Adopts Christianity,330,Africa,religion,non_western
aristotle-peripatetic-school,Aristotle's Peripatetic School,335,Greece,scientific,chronology
first-orphanage,Orphanage of Constantinople,350,Byzantine Empire,social,historical_firsts
samudragupta-deccan-campaigns,Samudragupta Conquers Deccan,350,South Asia,military,r2_antiquity
aksumite-nubian-conflicts,Aksumite Kingdom Conflicts with Nubia,350,Africa,military,r2_antiquity
wang-xifeng-calligraphy,Wang Xi-Zhi's Calligraphy Codified,350,China,artistic,r2_cultural
moche-portrait-pottery,Moche Portrait Pottery Production Peak,350,South America,artistic,r2_korea_americas
legalist-philosophy-qi,Legalism Ascendant in Qi State,360,East Asia,philosophy,non_western
qin-legalism-shang-yang,Shang Yang's Legalist Reforms in Qin,360,East Asia,political,non_western
great-migration-barbarians,Great Migration of Barbarians,375,Europe,military,chronology
theodosius-christianity-official,Theodosius Makes Christianity Official,380,Mediterranean,religious,chronology
chandragupta-ii-vikramaditya,Chandragupta II Reigns as Vikramaditya,380,South Asia,political,r2_antiquity
plato-founds-academy,Plato Founds the Academy,387,Greece,cultural,chronology
stilicho-roman-general,Stilicho's Military Campaigns,395,Europe,military,chronology
socrates-execution,Execution of Socrates,399,Greece,political,chronology
cassian-monasticism,Cassian Founds Monastic Traditions,400,Mediterranean,religious,chronology
kingdom-axum,Aksumite Empire Peak,400,Sub-Saharan Africa,political,gap_analysis
gupta-mathematics,Gupta Mathematics and Astronomy Flourish,400,South Asia,scientific,gap_analysis
moche-civilization,Moche Civilization Peak,400,South America,artistic,gap_analysis
hypatia-alexandria,Hypatia of Alexandria Teaches,400,Near East/Middle East,scientific,gap_analysis
warring-states-innovations,Warring States Military and Agricultural Innovations,400,East Asia,technology,non_western
gupta-golden-age,Gupta Golden Age - Science and Mathematics,400,South Asia,culture,non_western
maya-writing-system,Maya Hieroglyphic Writing System Develops,400,Mesoamerica,language,non_western
nazca-geoglyphs,Nazca Geoglyphs Astronomical Function,400,South America,science,non_western
polynesian-easter-island-settlement,Polynesian Settlement of Easter Island,400,Pacific,exploration,non_western
baekje-kingdom,Baekje Kingdom Flourishes in Korea,400,East Asia,political,non_western
nestorian-missionaries-asia,Nestorian Missionaries Spread to Central Asia,400,Central Asia,religious,r2_antiquity
east-african-swahili-ports,Early Swahili Trading Ports Established,400,Africa,economic,r2_antiquity
mayan-astronomical-calculations,Mayan Civilization Advanced Astronomy,400,Mesoamerica,scientific,r2_antiquity
olmec-civilization-decline,Olmec Civilization Declines,400,Mesoamerica,political,r2_antiquity
moche-coastal-empire,Moche Civilization Builds Coastal Empire,400,South America,political,r2_antiquity
hawaiian-settlement,Settlement of Hawaiian Islands,400,Pacific,exploration,r2_antiquity
hippocrates-corpus,Hippocrates Corpus Medical Writings,400,Greece,medical,r2_scientific
hypatia-mathematics-astronomy,Hypatia Teaches Mathematics and Astronomy,400,Egypt,scientific,r2_scientific
zoroastrian-avesta,Zoroastrian Avesta Codified,400,Persia,literary,r2_cultural
kalidasa-shakuntala,Kalidasa Writes Shakuntala Mahabharata,400,South Asia,literary,r2_cultural
kalidasa-drama,Kalidasa Pioneers Sanskrit Drama,400,South Asia,theatrical,r2_cultural
scythian-mound-burials,Scythian Royal Mound Burials Peak,400,Central Asia,cultural,r2_korea_americas
stirrup-east-asia,Stirrup Adoption in East Asia,400,Central Asia,military,r2_paradigm_shifts
anglo-saxon-migration,Anglo-Saxon Migration to Britain,410,Britain,military,chronology
pelagian-controversy,Pelagian Controversy on Free Will,410,Mediterranean,religious,r2_antiquity
kumaragupta-i-reign,Kumaragupta I Rules Gupta Empire,415,South Asia,political,r2_antiquity
alaric-visigoth-kingdom,Alaric Establishes Visigoth Kingdom,418,Europe,political,chronology
visigothic-spain-establishment,Visigothic Kingdom Established in Spain,418,Spain,political,r2_antiquity
northern-southern-dynasties,Northern and Southern Dynasties Period,420,China,political,r2_antiquity
euripides-medea,Euripides Writes Major Tragedies,420,Greece,theatrical,r2_cultural
macrobius-astronomy,Macrobius Writes on Astronomy,430,Rome,scientific,r2_scientific
sophocles-oedipus,Sophocles Writes Oedipus Rex,430,Greece,theatrical,r2_cultural
nestorian-schism,Nestorian Schism Divides Eastern Church,431,Mediterranean,religious,r2_antiquity
saint-patrick-ireland,Saint Patrick Brings Christianity to Ireland,432,Ireland,religious,r2_antiquity
democritus-atomism,Democritus Proposes Atomic Theory,440,Greece,philosophical,r2_scientific
aristophanes-comedy,Aristophanes Pioneers Greek Comedy,440,Greece,theatrical,r2_cultural
anglo-saxon-kingdoms-establish,Anglo-Saxon Kingdoms Establish,450,Britain,political,chronology
bhartrihari-poetry,Bhartrihari Writes Subhasita Poetry,450,South Asia,literary,r2_cultural
nasca-settlement-cahuachi,Cahuachi Religious Center Flourishes,450,South America,religious,r2_korea_americas
monophysite-controversy,Monophysite Controversy in Christianity,451,Mediterranean,religious,r2_antiquity
attila-hunnic-invasions,Attila Invades Roman Empire,451,Europe,military,r2_antiquity
battle-of-catalaunian-plains,Battle of Catalaunian Plains,451,Europe,military,r2_antiquity
skandagupta-gupta-restoration,Skandagupta Defends Gupta Against Invasions,455,South Asia,military,r2_antiquity
devagupta-gupta-succession,Devagupta Rules Gupta Empire,467,South Asia,political,r2_antiquity
warring-states-period-begins,Beginning of China's Warring States Period,475,East Asia,political,non_western
aeschylus-tragedy-origins,Aeschylus Develops Greek Tragedy Form,480,Greece,theatrical,r2_cultural
hephthalite-invasions,Hephthalite Invasions of Persia,490,Central Asia,military,r2_korea_americas
theodoric-ostrogoth-kingdom,Theodoric Founds Ostrogothic Kingdom,493,Italy,political,chronology
theodoric-ostrogothic-rule,Theodoric Rules Ostrogothic Kingdom,493,Italy,political,r2_antiquity
aryabhata-astronomy,Aryabhata's Astronomical Treatise,499,South Asia,science,non_western
nalanda-university,Nalanda University Flourishes,500,South Asia,scientific,"gap_analysis, historical_firsts"
samarkand-founded,Samarkand City Founded,500,Central Asia,architectural,gap_analysis
heavy-plow,Heavy Plow Technology Spreads,500,Western Europe,agricultural,gap_analysis
sogdian-traders,Sogdian Traders Dominate Silk Road,500,Central Asia,trade,non_western
nok-civilization,Nok Civilization in West Africa,500,Africa,culture,non_western
zapotec-monte-alban,Zapotec Culture at Monte Alban,500,Mesoamerica,culture,non_western
ghassanid-kingdom,Ghassanid Kingdom of Pre-Islamic Arabia,500,Middle East,political,non_western
nok-culture-ironworking,Nok Culture Develops Ironworking,500,Africa,technology,non_western
ancestral-dorset,Ancestral Dorset Culture Arctic Region,500,North America,culture,non_western
postal-system-persia,Persian Postal System,500,Persia,communication,historical_firsts
zero-concept-india,Zero Concept Develops in Indian Mathematics,500,South Asia,scientific,r2_antiquity
sogdian-merchant-dominance,Sogdian Merchants Dominate Central Asian Trade,500,Central Asia,economic,r2_antiquity
nok-civilization-nigeria,Nok Civilization Flourishes in Nigeria,500,Africa,cultural,r2_antiquity
micronesian-navigation-development,Micronesian Navigation Techniques Develop,500,Pacific,maritime,r2_antiquity
trans-saharan-trade-gold,Trans-Saharan Gold Trade Develops,500,Africa,economic,"r2_antiquity, r2_paradigm_shifts"
aryabhata-zero-concept,Aryabhata Develops Zero and Decimal System,500,India,mathematical,r2_scientific
nalanda-university-science,Nalanda University Scientific Curriculum Established,500,India,scientific,r2_scientific
takshashila-university-scholars,Takshashila University Advances Scholarship,500,India,intellectual,r2_scientific
boethius-logic-translation,Boethius Translates Greek Logic,500,Rome,intellectual,r2_scientific
crucible-steel-wootz,Crucible Steel (Wootz) Production,500,India,metallurgy,r2_tech_chains
beacon-fire-chains,Beacon Fire Communication Networks,500,Mediterranean,communication,r2_tech_chains
iron-smelting-bantu-expansion,Iron Smelting Technology Spreads via Bantu Migration,500,Sub-Saharan Africa,technological,r2_africa_pacific
polynesian-wayfinding-techniques,Polynesian Wayfinding Navigation Perfected,500,Polynesia,maritime,r2_africa_pacific
bamiyan-buddha-colossal,Bamiyan Colossal Buddha Completed,500,Central Asia,artistic,r2_korea_americas
tiwanaku-monumental-center,Tiwanaku Monumental Architecture Built,500,South America,architectural,r2_korea_americas
nazca-puquios-aqueducts,Nazca Puquios Aqueduct System Built,500,South America,architectural,r2_korea_americas
adena-mound-burials,Adena Mound Burial Complex Peak,500,North America,cultural,r2_korea_americas
battle-of-vouille,Clovis Defeats Visigoths at Vouille,507,Europe,military,r2_antiquity
aryabhata-pi-calculation,Aryabhata Calculates Pi to Four Decimal Places,510,South Asia,science,non_western
clovis-frankish-expansion,Clovis Expands Frankish Kingdom,510,Europe,military,r2_antiquity
tunnel-engineering,Tunnel of Eupalinus,520,Greece,infrastructure,historical_firsts
boethius-consolation,Boethius Writes Consolation of Philosophy,523,Italy,artistic,chronology
justinian-compilation,Justinian Code Compiled,529,Mediterranean,legal,chronology
pythagoras-theorem-geometry,Pythagoras Develops Theorem of Geometry,530,Greece,mathematical,r2_scientific
chosroes-i-anushirvan,Chosroes I Rules Sassanid Persia,531,Persia,political,r2_antiquity
justinian-gothic-war,Justinian's Gothic War in Italy,535,Italy,military,r2_antiquity
construction-hagia-sophia,Hagia Sophia Construction,537,Mediterranean,architectural,chronology
baekje-five-temple-mission,Baekje Buddhist Mission to Japan,538,Korea,religious,r2_korea_americas
belisarius-gothic-war,Belisarius Recaptures Italy,540,Italy,military,chronology
temple-apollo-corinth,Temple of Apollo at Corinth,550,Greece,architectural,chronology
achaemenid-empire-persia,Achaemenid Empire of Persia,550,Persia,political,chronology
chalukya-dynasty,Chalukya Dynasty Expansion,550,South Asia,political,non_western
pallava-dynasty,Pallava Dynasty Southern India,550,South Asia,political,non_western
varahamihira-bhatasiddhanla,Varahamihira Compiles Bhatasiddhanla,550,South Asia,scientific,r2_antiquity
greek-vase-painting-golden-age,Greek Vase Painting Golden Age,550,Greece,artistic,r2_cultural
byzantine-church-architecture,Byzantine Church Architecture Peak,550,Byzantine Empire,architectural,r2_cultural
sogdian-samarkand-colony,Sogdian Colony at Samarkand,550,Central Asia,economic,r2_korea_americas
dunhuang-mogao-caves,Mogao Caves Buddhist Complex Expanded,550,Central Asia,religious,r2_korea_americas
turk-khaganate-establishment,Turkic Khaganate Established,552,Central Asia,political,r2_antiquity
columba-scotland-monasticism,Columba Founds Monastery on Iona,563,Scotland,religious,r2_antiquity
thales-measurement-pyramid,Thales Measures the Pyramid Height,585,Greece,scientific,r2_scientific
chosroes-ii-persia,Chosroes II Reigns Over Persia,590,Persia,political,r2_antiquity
augustine-mission-britain,Augustine's Mission to Britain,597,Britain,religious,chronology
hanging-gardens-babylon,Hanging Gardens of Babylon Built,600,Mesopotamia,architectural,chronology
irish-monasticism-height,Irish Monasticism Golden Age,600,Ireland,religious,chronology
ellora-caves,Ellora Caves Construction,600,South Asia,architectural,gap_analysis
sogdian-merchants,Sogdian Merchants Dominate Trade Routes,600,Central Asia,economic,gap_analysis
mayan-astronomy,Mayan Astronomical Knowledge,600,Mesoamerica,scientific,gap_analysis
maya-classical-period,Maya Classical Period Flourishes,600,Mesoamerica,culture,non_western
maya-mathematical-innovation,Maya Zero and Mathematical System Innovation,600,Mesoamerica,science,non_western
moche-civilization-peru,Moche Civilization Flourishes in Peru,600,South America,culture,non_western
tiwanaku-empire-rise,Tiwanaku Empire Rises in Andes,600,South America,political,non_western
goguryeo-kingdom,Goguryeo Kingdom Dominates Northeast Asia,600,East Asia,political,non_western
fremont-culture,Fremont Culture of Great Basin,600,North America,culture,non_western
pandya-dynasty,Pandya Dynasty Maritime Power,600,South Asia,political,non_western
cataract-surgery-ancient,Ancient Cataract Surgery,600,Egypt,medicine,historical_firsts
first-sewer-system,Cloaca Maxima,600,Roman Empire,infrastructure,historical_firsts
first-coins,Lydian Coins,600,Turkey,economy,historical_firsts
standing-army,Spartan Standing Army,600,Greece,military,historical_firsts
monastery-school,monastery School Systems,600,Europe,institutions,historical_firsts
inheritance-law,Inheritance Codes,600,France,law,historical_firsts
marine-law,Maritime Law Code,600,Mediterranean,law,historical_firsts
susruta-samhita,Susruta Compiles Medical Treatise,600,South Asia,medical,r2_antiquity
gokturk-empire-expansion,Göktürk Empire Expands Across Steppe,600,Central Asia,military,r2_antiquity
irrigation-qanat-persia,Qanat Irrigation System Expansion,600,Persia,agricultural,r2_economic
byzantine-mosaic-tradition,Byzantine Mosaic Art Tradition Peak,600,Byzantine Empire,artistic,r2_cultural
irish-monastery-art,Irish Monastery Art Tradition,600,Ireland,artistic,r2_cultural
water-mill-development,Water Mill Mechanics Refined,600,Middle East,energy,r2_tech_chains
stirrup-development,Stirrup Development and Adoption,600,Central Asia,weapons,r2_tech_chains
african-agricultural-innovation-millet,Millet and Sorghum Cultivation Spreads,600,West Africa,agricultural,r2_africa_pacific
polynesian-double-canoe-design,Polynesian Double-Hulled Canoe Technology,600,Polynesia,maritime,r2_africa_pacific
chichen-itza-founded,Chichen Itza Established,600,Mesoamerica,political,r2_korea_americas
nazca-pottery-style,Nazca Polychrome Pottery Flourishes,600,South America,artistic,r2_korea_americas
goguryeo-murals-tombs,Goguryeo Tomb Murals Peak Artistic Period,600,Korea,artistic,r2_korea_americas
turfan-oasis-city,Turfan Oasis Silk Road Hub,600,Central Asia,economic,r2_korea_americas
stirrup-adoption-europe,Stirrup Adoption in Early Medieval Europe,600,Western Europe,military,r2_paradigm_shifts
camel-adoption-sahara,Camel Adoption Across Sahara,600,North Africa,trade,r2_paradigm_shifts
monasteries-manuscript-preservation,Monastic Manuscript Preservation Becomes Systematic,600,Western Europe,information,r2_paradigm_shifts
harsha-empire,Harsha's Empire in North India,606,South Asia,political,non_western
first-civil-service-exam,Chinese Imperial Exam,607,China,governance,historical_firsts
palenque-pacal-accession,Palenque King Pacal II Ascends,615,Mesoamerica,political,r2_korea_americas
early-tang-expansion,Early Tang Dynasty Military Expansion,618,China,military,r2_antiquity
spread-of-islam-arabian-peninsula,Spread of Islam Across Arabian Peninsula,620,Arabia,religious,r2_antiquity
samarkand-zoroastrian-temple,Zoroastrian Fire Temple Built in Samarkand,620,Central Asia,religious,r2_korea_americas
hejira-prophet-muhammad,Hejira of Prophet Muhammad,622,Arabia,religious,chronology
heraclius-campaigns-persia,Heraclius Defeats Chosroes II,622,Byzantine,military,r2_antiquity
sutton-hoo-burial,Sutton Hoo Ship Burial,625,Britain,cultural,chronology
brahmagupta-algebra-india,Brahmagupta Advances Algebra and Mathematics,628,India,mathematical,r2_scientific
battle-of-mu-ta,Battle of Mu'ta - Muslim-Byzantine Conflict,629,Middle East,military,r2_antiquity
xuanzang-silk-road,Xuanzang Travels Silk Road to India,629,Central Asia,exploration,r2_antiquity
isidore-seville-encyclopedia,Isidore of Seville's Encyclopaedia,630,Spain,cultural,chronology
sappho-poetry,Sappho's Poetry Collections,630,Greece,literary,r2_cultural
siege-of-damascus-636,Siege of Damascus by Arab Forces,636,Syria,military,r2_antiquity
